neighbourhood_group,neighbourhood
OLIVEIRA DE AZEMÉIS,São Roque
OLIVEIRA DE AZEMÉIS,Vila de Cucujães
PAREDES,Aguiar de Sousa
PAREDES,Astromil
PAREDES,Baltar
PAREDES,Beire
PAREDES,Cete
PAREDES,Cristelo
PAREDES,Duas Igrejas
PAREDES,Gandra
PAREDES,Lordelo
PAREDES,Louredo
PAREDES,Parada de Todeia
PAREDES,Paredes
PAREDES,Rebordosa
PAREDES,Recarei
PAREDES,Sobreira
PAREDES,Sobrosa
PAREDES,Vandoma
PAREDES,Vilela
PORTO,"Aldoar, Foz do Douro e Nevogilde"
PORTO,Bonfim
PORTO,Campanhã
PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória"
PORTO,Lordelo do Ouro e Massarelos
PORTO,Paranhos
PORTO,Ramalde
PÓVOA DE VARZIM,Aguçadoura e Navais
PÓVOA DE VARZIM,"AVer-o-Mar, Amorim e Terroso"
PÓVOA DE VARZIM,Balazar
PÓVOA DE VARZIM,Estela
PÓVOA DE VARZIM,Laundos
PÓVOA DE VARZIM,"Póvoa de Varzim, Beiriz e Argivai"
PÓVOA DE VARZIM,Rates
SANTA MARIA DA FEIRA,Argoncilhe
SANTA MARIA DA FEIRA,Arrifana
SANTA MARIA DA FEIRA,Caldas de São Jorge e de Pigeiros
SANTA MARIA DA FEIRA,"Canedo, Vale e Vila Maior"
SANTA MARIA DA FEIRA,Escapães
SANTA MARIA DA FEIRA,Fiães
SANTA MARIA DA FEIRA,Fornos
SANTA MARIA DA FEIRA,"Lobão, Gião, Louredo e Guisande"
SANTA MARIA DA FEIRA,Lourosa
SANTA MARIA DA FEIRA,Milheirós de Poiares
SANTA MARIA DA FEIRA,Mozelos
SANTA MARIA DA FEIRA,Nogueira da Regedoura
SANTA MARIA DA FEIRA,Paços de Brandão
SANTA MARIA DA FEIRA,Rio Meão
SANTA MARIA DA FEIRA,Romariz
SANTA MARIA DA FEIRA,Sanguedo
SANTA MARIA DA FEIRA,"Santa Maria da Feira, Travanca, Sanfins e Espargo"
SANTA MARIA DA FEIRA,Santa Maria de Lamas
SANTA MARIA DA FEIRA,São João de Ver
SANTA MARIA DA FEIRA,São Miguel do Souto e Mosteirô
SANTA MARIA DA FEIRA,São Paio de Oleiros
SANTO TIRSO,Agrela
SANTO TIRSO,Água Longa
SANTO TIRSO,"Areias, Sequeiró, Lama e Palmeira"
SANTO TIRSO,Aves
SANTO TIRSO,Carreira e Refojos de Riba de Ave
SANTO TIRSO,Lamelas e Guimarei
SANTO TIRSO,Monte Córdova
SANTO TIRSO,Negrelos (São Tomé)
SANTO TIRSO,Rebordões
SANTO TIRSO,Reguenga
SANTO TIRSO,Roriz
SANTO TIRSO,"St. Tirso, Couto (S. Cristina e S. Miguel) e Burgães"
SANTO TIRSO,Vila Nova do Campo
SANTO TIRSO,Vilarinho
SÃO JOÃO DA MADEIRA,São João da Madeira
TROFA,Alvarelhos e Guidões
TROFA,Bougado (São Martinho e Santiago)
TROFA,Coronado (São Romão e São Mamede)
TROFA,Covelas
TROFA,Muro
VALE DE CAMBRA,Arões
VALE DE CAMBRA,Cepelos
VALE DE CAMBRA,Junqueira
VALE DE CAMBRA,Macieira de Cambra
VALE DE CAMBRA,Roge
VALE DE CAMBRA,São Pedro de Castelões
VALE DE CAMBRA,"Vila Chã, Codal e Vila Cova de Perrinho"
VALONGO,Alfena
VALONGO,Campo e Sobrado
VALONGO,Ermesinde
VALONGO,Valongo
VILA DO CONDE,Árvore
VILA DO CONDE,Aveleda
VILA DO CONDE,Azurara
VILA DO CONDE,"Bagunte, Ferreiró, Outeiro Maior e Parada"
VILA DO CONDE,Fajozes
VILA DO CONDE,Fornelo e Vairão
VILA DO CONDE,Gião
VILA DO CONDE,Guilhabreu
VILA DO CONDE,Junqueira
VILA DO CONDE,Labruge
VILA DO CONDE,Macieira da Maia
VILA DO CONDE,Malta e Canidelo
VILA DO CONDE,Mindelo
VILA DO CONDE,Modivas
VILA DO CONDE,Retorta e Tougues
VILA DO CONDE,Rio Mau e Arcos
VILA DO CONDE,Touguinha e Touguinhó
VILA DO CONDE,Vila Chã
VILA DO CONDE,Vila do Conde
VILA DO CONDE,Vilar de Pinheiro
VILA DO CONDE,Vilar e Mosteiró
VILA NOVA DE GAIA,Arcozelo
VILA NOVA DE GAIA,Avintes
VILA NOVA DE GAIA,Canelas
VILA NOVA DE GAIA,Canidelo
VILA NOVA DE GAIA,Grijó e Sermonde
VILA NOVA DE GAIA,Gulpilhares e Valadares
VILA NOVA DE GAIA,Madalena
VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso
VILA NOVA DE GAIA,Oliveira do Douro
VILA NOVA DE GAIA,Pedroso e Seixezelo
VILA NOVA DE GAIA,"Sandim, Olival, Lever e Crestuma"
VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada
VILA NOVA DE GAIA,São Félix da Marinha
VILA NOVA DE GAIA,Serzedo e Perosinho
VILA NOVA DE GAIA,Vilar de Andorinho
